fighter_number,fighter,weight,max_fall_speed,fastfall_speed,initial_dash_speed,run_speed,horizontal_air_speed,base_air_acceleration,air_acceleration_range,jump_frames,base_run_acceleration,run_acceleration_range,jump_height,hop_height,air_jump_height,horizontal_air_friction,gravity,ledge_jump_height,number_of_jumps,shield_size
30,Wario,107,1.61,2.576,1.3,1.5,1.21,0.04,0.08,6,0.04,0.0954,30.5,14.7,30.5,0.04,0.092,35.25,2,9.3
32,Ike,107,1.65,2.64,1.5,1.5,1.08,0.01,0.04,6,0.01,0.0724,29.9,16,31,0.009,0.092,34.95,2,10.9
35,Charizard,116,1.4,2.24,1,2,0.92,0.01,0.05,6,0.015,0.0963,32,15.42625,36,0.008,0.11,36,3,11.74
36,Diddy Kong,93,1.75,2.8,1.7,1.824,0.88,0,0.05,4,0.04,0.15,41.208694,19.897078,41.208694,0.008,0.105,40.604347,2,8
37,Lucas,94,1.37,2.192,1.3,1.5,1.1,0.01,0.085,5,0.02,0.08,29.41,13,34.48,0.014,0.09,45.63,2,7.9
38,Sonic,94,1.45,2.32,1.5,3.5,1.15,0.01,0.04,5,0.04,0.15,35,16.887465,35,0.01,0.09,37.5,2,9.4
39,King Dedede,119,1.95,3.12,1.4,1.36,0.63,0.01,0.04,6,0.01,0.0858,32.85,16.019524,32.85,0.006,0.087885,36.425,5,13.4
40,Olimar,79,1.35,2.16,1.4,1.47,0.82,0.01,0.07,5,0.04,0.0872,33.5,16.191645,33.5,0.015,0.068,36.75,2,7.8
41,Lucario,99,1.68,2.688,1.8,1.55,1.09,0,0.07,5,0.04,0.15,37.62,18.193617,37.62,0.005,0.084,38.81,2,8.96
42,R.O.B.,106,1.6,2.56,1.3,1.568,1.08,0.04,0.045,5,0.04,0.1128,38,18.378603,38,0.015,0.09,39,2,12.48
43,Toon Link,93,1.28,2.048,1.5,1.7325,0.94,0.01,0.08,5,0.04,0.0998,33.8,16.320242,33.8,0.01,0.079,36.9,2,8.2
45,Villager,97,1.32,2.112,1.5,1.27,0.94,0.01,0.05,5,0.04,0.0998,32.5,15.689452,32.5,0.01,0.078,36.25,2,8.3
46,Mega Man,102,1.8,2.88,1.5,1.456,1.1,0.01,0.1,4,0.04,0.0998,32.8,11.492068,32.8,0.05,0.1071,36.4,2,9
47,Wii Fit Trainer,96,1.3,2.08,1.5,1.696,0.97,0.01,0.08,5,0.04,0.0998,35.6,17.179214,35.6,0.01,0.09,37.8,2,11.2
48,Rosalina,77,1.2,1.92,1.5,1.632,1,0.01,0.1,5,0.04,0.1181,40,19.370632,40,0.01,0.062,40,2,11.1
49,Little Mac,82,1.8,2.88,2.05,2.24,1,0.01,0.028,5,0.02,0.1618,26,12.526741,26,0.0075,0.08,33,2,9.35
50,Greninja,94,1.85,2.96,1.6,2.08,1.18,0.01,0.07,4,0.05,0.12,46,22.114738,46,0.015,0.18,43,2,9.2
51,Mii Brawler,100,1.7,2.72,1.6,1.72,1.2,0.01,0.058,5,0.04,0.0998,35,17,35.5,0.015,0.1,37.5,2,9.5
52,Mii Swordfighter,100,1.6,2.56,1.3,1.5,0.96,0.01,0.04,7,0.04,0.1197,28.3,15,28.3,0.0038,0.096,34.150001,2,9.5
53,Mii Gunner,100,1.45,2.32,1.6,1.3,1.05,0.01,0.07,6,0.04,0.0998,32,17.539339,33.500343,0.01,0.08715,36,2,9.5
54,Palutena,91,1.4,2.24,1.5,1.888,0.91,0.01,0.1,5,0.04,0.1181,35.9,17.303881,35.9,0.01,0.105,37.95,2,11.5
55,Pac-Man,95,1.35,2.16,1.6,1.52,1.04,0.01,0.07,5,0.04,0.0998,34.1,16.477137,34.1,0.015,0.072,37.05,2,8.9
56,Robin,95,1.5,2.4,1.5,1.15,1,0.01,0.07,6,0.01,0.082,33.208813,16.018034,33.208813,0.007,0.089,36.604404,2,10.7
57,Shulk,102,1.5,2.4,1.5,1.52,1.06,0.01,0.04,5,0.01,0.0724,34.8,16.797567,34.8,0.009,0.085,37.4,2,10.43
58,Bowser Jr.,108,1.65,2.64,1.6,1.424,1.08,0.01,0.07,6,0.04,0.0998,34.4,16.592869,34.4,0.015,0.092,37.2,2,10.3
59,Duck Hunt,91,1.65,2.64,1.55,1.63,1.1,0.01,0.07,4,0.04,0.0998,34,16.477137,33.8,0.015,0.076,37,2,8.5
60,Ryu,103,1.6,2.24,1.6,1.6,1.12,0.01,0.025,5,0.04,0.0998,26,15,29.5,0.015,0.12,33,2,10.6
61,Cloud,100,1.68,2.688,1.8,1.97,1.1,0.01,0.06,4,0.01,0.09,32.5,17,32.5,0.009,0.098,36.25,2,10.9
62,Corrin,98,1.65,2.64,1.8,1.45,0.97,0.01,0.04,6,0.01,0.0724,33,16,31,0.009,0.092,36.5,2,10.6
63,Bayonetta,84,1.77,2.832,1.7,1.6,0.97,0.01,0.085,4,0.04,0.0942,39,21.354742,42,0.008,0.12,39.5,2,10.6
